,State,State Code,Year of Death,Year of Death Code,Age of Mother,Age of Mother Code,ICD Chapter,ICD Chapter Code,Deaths,Births,Death Rate
1087,Delaware,10.0,2008.0,2008.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,13.0,2647.0,4.91 (Unreliable)
1088,Delaware,10.0,2009.0,2009.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,20.0,3328.0,6.01
1089,Delaware,10.0,2009.0,2009.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,11.0,2674.0,4.11 (Unreliable)
1090,Delaware,10.0,2009.0,2009.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,10.0,1284.0,7.79 (Unreliable)
1091,Delaware,10.0,2010.0,2010.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,10.0,2725.0,3.67 (Unreliable)
1092,Delaware,10.0,2010.0,2010.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,12.0,3313.0,3.62 (Unreliable)
1093,Delaware,10.0,2011.0,2011.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,16.0,2654.0,6.03 (Unreliable)
1094,Delaware,10.0,2011.0,2011.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,14.0,3300.0,4.24 (Unreliable)
1095,Delaware,10.0,2011.0,2011.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,16.0,2794.0,5.73 (Unreliable)
1096,Delaware,10.0,2012.0,2012.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,10.0,2548.0,3.92 (Unreliable)
1097,Delaware,10.0,2012.0,2012.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,20.0,3162.0,6.33
1098,Delaware,10.0,2012.0,2012.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,16.0,2953.0,5.43 (Unreliable)
1099,Delaware,10.0,2013.0,2013.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,11.0,3148.0,3.50 (Unreliable)
1100,Delaware,10.0,2013.0,2013.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,13.0,2993.0,4.34 (Unreliable)
1101,Delaware,10.0,2014.0,2014.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,17.0,3304.0,5.15 (Unreliable)
1102,Delaware,10.0,2015.0,2015.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,19.0,2287.0,8.31 (Unreliable)
1103,Delaware,10.0,2015.0,2015.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,20.0,3326.0,6.01
1104,Delaware,10.0,2015.0,2015.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,19.0,3203.0,5.93 (Unreliable)
1105,Delaware,10.0,2016.0,2016.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,16.0,2103.0,7.61 (Unreliable)
1106,Delaware,10.0,2016.0,2016.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,18.0,3312.0,5.43 (Unreliable)
1107,Delaware,10.0,2016.0,2016.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,11.0,3193.0,3.45 (Unreliable)
1108,Delaware,10.0,2019.0,2019.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,13.0,3210.0,4.15 (Unreliable)
1109,District of Columbia,11.0,2007.0,2007.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,22.0,1909.0,11.62
1110,District of Columbia,11.0,2007.0,2007.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,15.0,1965.0,7.70 (Unreliable)
1111,District of Columbia,11.0,2007.0,2007.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,15.0,2067.0,7.32 (Unreliable)
1112,District of Columbia,11.0,2008.0,2008.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,16.0,1911.0,8.45 (Unreliable)
1113,District of Columbia,11.0,2008.0,2008.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,15.0,2046.0,7.40 (Unreliable)
1114,District of Columbia,11.0,2008.0,2008.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,14.0,1474.0,9.58 (Unreliable)
1115,District of Columbia,11.0,2009.0,2009.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,12.0,1838.0,6.53 (Unreliable)
1116,District of Columbia,11.0,2009.0,2009.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,14.0,2045.0,6.85 (Unreliable)
1117,District of Columbia,11.0,2010.0,2010.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,14.0,2469.0,5.67 (Unreliable)
1118,District of Columbia,11.0,2010.0,2010.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,10.0,1457.0,6.87 (Unreliable)
1119,District of Columbia,11.0,2011.0,2011.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,15.0,1890.0,7.94 (Unreliable)
1120,District of Columbia,11.0,2011.0,2011.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,12.0,1888.0,6.36 (Unreliable)
1121,District of Columbia,11.0,2012.0,2012.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,14.0,1830.0,7.66 (Unreliable)
1122,District of Columbia,11.0,2012.0,2012.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,12.0,1973.0,6.09 (Unreliable)
1123,District of Columbia,11.0,2013.0,2013.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,14.0,1864.0,7.51 (Unreliable)
1124,District of Columbia,11.0,2015.0,2015.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,11.0,1677.0,6.56 (Unreliable)
1125,District of Columbia,11.0,2015.0,2015.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,14.0,2947.0,4.75 (Unreliable)
1126,District of Columbia,11.0,2016.0,2016.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,10.0,2086.0,4.80 (Unreliable)
1127,District of Columbia,11.0,2016.0,2016.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,10.0,3087.0,3.24 (Unreliable)
1128,District of Columbia,11.0,2016.0,2016.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,13.0,2115.0,6.15 (Unreliable)
1129,District of Columbia,11.0,2017.0,2017.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,10.0,1445.0,6.92 (Unreliable)
1130,District of Columbia,11.0,2017.0,2017.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,10.0,2015.0,4.96 (Unreliable)
1131,District of Columbia,11.0,2017.0,2017.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,11.0,3030.0,3.63 (Unreliable)
1132,District of Columbia,11.0,2018.0,2018.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,13.0,1816.0,7.16 (Unreliable)
1133,Florida,12.0,2007.0,2007.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,121.0,25693.0,4.71
1134,Florida,12.0,2007.0,2007.0,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,43.0,25693.0,1.67
1135,Florida,12.0,2007.0,2007.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,38.0,25693.0,1.48
1136,Florida,12.0,2007.0,2007.0,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,39.0,25693.0,1.52
1137,Florida,12.0,2007.0,2007.0,20-24 years,20-24,Diseases of the nervous system,G00-G98,10.0,62647.0,0.16 (Unreliable)
1138,Florida,12.0,2007.0,2007.0,20-24 years,20-24,Diseases of the circulatory system,I00-I99,15.0,62647.0,0.24 (Unreliable)
1139,Florida,12.0,2007.0,2007.0,20-24 years,20-24,Diseases of the respiratory system,J00-J98,14.0,62647.0,0.22 (Unreliable)
1140,Florida,12.0,2007.0,2007.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,203.0,62647.0,3.24
1141,Florida,12.0,2007.0,2007.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,84.0,62647.0,1.34
1142,Florida,12.0,2007.0,2007.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,71.0,62647.0,1.14
1143,Florida,12.0,2007.0,2007.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,58.0,62647.0,0.93
1144,Florida,12.0,2007.0,2007.0,25-29 years,25-29,Diseases of the digestive system,K00-K92,11.0,64904.0,0.17 (Unreliable)
1145,Florida,12.0,2007.0,2007.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,194.0,64904.0,2.99
1146,Florida,12.0,2007.0,2007.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,92.0,64904.0,1.42
1147,Florida,12.0,2007.0,2007.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,42.0,64904.0,0.65
1148,Florida,12.0,2007.0,2007.0,25-29 years,25-29,External causes of morbidity and mortality,V01-Y89,21.0,64904.0,0.32
1149,Florida,12.0,2007.0,2007.0,30-34 years,30-34,Certain infectious and parasitic diseases,A00-B99,10.0,51195.0,0.20 (Unreliable)
1150,Florida,12.0,2007.0,2007.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,149.0,51195.0,2.91
1151,Florida,12.0,2007.0,2007.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,55.0,51195.0,1.07
1152,Florida,12.0,2007.0,2007.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,17.0,51195.0,0.33 (Unreliable)
1153,Florida,12.0,2007.0,2007.0,30-34 years,30-34,External causes of morbidity and mortality,V01-Y89,11.0,51195.0,0.22 (Unreliable)
1154,Florida,12.0,2007.0,2007.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,107.0,27767.0,3.85
1155,Florida,12.0,2007.0,2007.0,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,41.0,27767.0,1.48
1156,Florida,12.0,2007.0,2007.0,40-44 years,40-44,Certain conditions originating in the perinatal period,P00-P96,26.0,6188.0,4.21
1157,Florida,12.0,2007.0,2007.0,40-44 years,40-44,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,20.0,6188.0,3.23
1158,Florida,12.0,2008.0,2008.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,128.0,24077.0,5.32
1159,Florida,12.0,2008.0,2008.0,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,42.0,24077.0,1.75
1160,Florida,12.0,2008.0,2008.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,28.0,24077.0,1.17
1161,Florida,12.0,2008.0,2008.0,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,24.0,24077.0,1.00
1162,Florida,12.0,2008.0,2008.0,20-24 years,20-24,Diseases of the circulatory system,I00-I99,11.0,59657.0,0.19 (Unreliable)
1163,Florida,12.0,2008.0,2008.0,20-24 years,20-24,Diseases of the respiratory system,J00-J98,14.0,59657.0,0.24 (Unreliable)
1164,Florida,12.0,2008.0,2008.0,20-24 years,20-24,Diseases of the digestive system,K00-K92,18.0,59657.0,0.30 (Unreliable)
1165,Florida,12.0,2008.0,2008.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,227.0,59657.0,3.81
1166,Florida,12.0,2008.0,2008.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,87.0,59657.0,1.46
1167,Florida,12.0,2008.0,2008.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,50.0,59657.0,0.84
1168,Florida,12.0,2008.0,2008.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,58.0,59657.0,0.98
1169,Florida,12.0,2008.0,2008.0,25-29 years,25-29,Certain infectious and parasitic diseases,A00-B99,12.0,63574.0,0.19 (Unreliable)
1170,Florida,12.0,2008.0,2008.0,25-29 years,25-29,Diseases of the circulatory system,I00-I99,13.0,63574.0,0.21 (Unreliable)
1171,Florida,12.0,2008.0,2008.0,25-29 years,25-29,Diseases of the digestive system,K00-K92,11.0,63574.0,0.17 (Unreliable)
1172,Florida,12.0,2008.0,2008.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,189.0,63574.0,2.98
1173,Florida,12.0,2008.0,2008.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,68.0,63574.0,1.07
1174,Florida,12.0,2008.0,2008.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,40.0,63574.0,0.63
1175,Florida,12.0,2008.0,2008.0,25-29 years,25-29,External causes of morbidity and mortality,V01-Y89,45.0,63574.0,0.71
1176,Florida,12.0,2008.0,2008.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,138.0,50016.0,2.76
1177,Florida,12.0,2008.0,2008.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,67.0,50016.0,1.34
1178,Florida,12.0,2008.0,2008.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,17.0,50016.0,0.34 (Unreliable)
1179,Florida,12.0,2008.0,2008.0,30-34 years,30-34,External causes of morbidity and mortality,V01-Y89,18.0,50016.0,0.36 (Unreliable)
1180,Florida,12.0,2008.0,2008.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,141.0,27111.0,5.21
1181,Florida,12.0,2008.0,2008.0,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,32.0,27111.0,1.18
1182,Florida,12.0,2008.0,2008.0,40-44 years,40-44,Certain conditions originating in the perinatal period,P00-P96,23.0,6205.0,3.71
1183,Florida,12.0,2008.0,2008.0,40-44 years,40-44,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,18.0,6205.0,2.91 (Unreliable)
1184,Florida,12.0,2009.0,2009.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,100.0,22021.0,4.55
1185,Florida,12.0,2009.0,2009.0,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,43.0,22021.0,1.96
1186,Florida,12.0,2009.0,2009.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,18.0,22021.0,0.82 (Unreliable)
1187,Florida,12.0,2009.0,2009.0,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,27.0,22021.0,1.23
1188,Florida,12.0,2009.0,2009.0,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,22.0,56368.0,0.39
1189,Florida,12.0,2009.0,2009.0,20-24 years,20-24,Diseases of the circulatory system,I00-I99,14.0,56368.0,0.25 (Unreliable)
1190,Florida,12.0,2009.0,2009.0,20-24 years,20-24,Diseases of the respiratory system,J00-J98,15.0,56368.0,0.27 (Unreliable)
1191,Florida,12.0,2009.0,2009.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,187.0,56368.0,3.32
1192,Florida,12.0,2009.0,2009.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,73.0,56368.0,1.30
1193,Florida,12.0,2009.0,2009.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,54.0,56368.0,0.96
1194,Florida,12.0,2009.0,2009.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,56.0,56368.0,1.00
1195,Florida,12.0,2009.0,2009.0,25-29 years,25-29,Certain infectious and parasitic diseases,A00-B99,14.0,61782.0,0.23 (Unreliable)
1196,Florida,12.0,2009.0,2009.0,25-29 years,25-29,Diseases of the circulatory system,I00-I99,12.0,61782.0,0.20 (Unreliable)
1197,Florida,12.0,2009.0,2009.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,194.0,61782.0,3.14
1198,Florida,12.0,2009.0,2009.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,74.0,61782.0,1.20
1199,Florida,12.0,2009.0,2009.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,32.0,61782.0,0.52
1200,Florida,12.0,2009.0,2009.0,25-29 years,25-29,External causes of morbidity and mortality,V01-Y89,37.0,61782.0,0.60
1201,Florida,12.0,2009.0,2009.0,30-34 years,30-34,Certain infectious and parasitic diseases,A00-B99,15.0,48621.0,0.31 (Unreliable)
1202,Florida,12.0,2009.0,2009.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,158.0,48621.0,3.25
1203,Florida,12.0,2009.0,2009.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,58.0,48621.0,1.20
1204,Florida,12.0,2009.0,2009.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,12.0,48621.0,0.25 (Unreliable)
1205,Florida,12.0,2009.0,2009.0,30-34 years,30-34,External causes of morbidity and mortality,V01-Y89,16.0,48621.0,0.33 (Unreliable)
1206,Florida,12.0,2009.0,2009.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,104.0,25875.0,4.02
1207,Florida,12.0,2009.0,2009.0,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,35.0,25875.0,1.36
1208,Florida,12.0,2009.0,2009.0,40-44 years,40-44,Certain conditions originating in the perinatal period,P00-P96,19.0,6033.0,3.15 (Unreliable)
1209,Florida,12.0,2009.0,2009.0,40-44 years,40-44,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,13.0,6033.0,2.16 (Unreliable)
1210,Florida,12.0,2010.0,2010.0,15-19 years,15-19,Diseases of the respiratory system,J00-J98,11.0,19127.0,0.58 (Unreliable)
1211,Florida,12.0,2010.0,2010.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,85.0,19127.0,4.45
1212,Florida,12.0,2010.0,2010.0,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,28.0,19127.0,1.47
1213,Florida,12.0,2010.0,2010.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,24.0,19127.0,1.26
1214,Florida,12.0,2010.0,2010.0,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,18.0,19127.0,0.95 (Unreliable)
1215,Florida,12.0,2010.0,2010.0,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,14.0,53036.0,0.27 (Unreliable)
1216,Florida,12.0,2010.0,2010.0,20-24 years,20-24,Diseases of the circulatory system,I00-I99,10.0,53036.0,0.19 (Unreliable)
1217,Florida,12.0,2010.0,2010.0,20-24 years,20-24,Diseases of the respiratory system,J00-J98,10.0,53036.0,0.19 (Unreliable)
1218,Florida,12.0,2010.0,2010.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,193.0,53036.0,3.64
1219,Florida,12.0,2010.0,2010.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,57.0,53036.0,1.08
1220,Florida,12.0,2010.0,2010.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,56.0,53036.0,1.06
1221,Florida,12.0,2010.0,2010.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,50.0,53036.0,0.95
1222,Florida,12.0,2010.0,2010.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,176.0,60733.0,2.90
1223,Florida,12.0,2010.0,2010.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,61.0,60733.0,1.01
1224,Florida,12.0,2010.0,2010.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,28.0,60733.0,0.46
1225,Florida,12.0,2010.0,2010.0,25-29 years,25-29,External causes of morbidity and mortality,V01-Y89,26.0,60733.0,0.43
1226,Florida,12.0,2010.0,2010.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,158.0,49475.0,3.20
1227,Florida,12.0,2010.0,2010.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,48.0,49475.0,0.97
1228,Florida,12.0,2010.0,2010.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,15.0,49475.0,0.31 (Unreliable)
1229,Florida,12.0,2010.0,2010.0,30-34 years,30-34,External causes of morbidity and mortality,V01-Y89,17.0,49475.0,0.35 (Unreliable)
1230,Florida,12.0,2010.0,2010.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,78.0,25411.0,3.07
1231,Florida,12.0,2010.0,2010.0,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,37.0,25411.0,1.46
1232,Florida,12.0,2010.0,2010.0,40-44 years,40-44,Certain conditions originating in the perinatal period,P00-P96,29.0,6152.0,4.72
1233,Florida,12.0,2010.0,2010.0,40-44 years,40-44,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,17.0,6152.0,2.77 (Unreliable)
1234,Florida,12.0,2011.0,2011.0,15-19 years,15-19,Certain infectious and parasitic diseases,A00-B99,10.0,17125.0,0.59 (Unreliable)
1235,Florida,12.0,2011.0,2011.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,73.0,17125.0,4.27
1236,Florida,12.0,2011.0,2011.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,14.0,17125.0,0.82 (Unreliable)
1237,Florida,12.0,2011.0,2011.0,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,21.0,17125.0,1.23
1238,Florida,12.0,2011.0,2011.0,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,13.0,52072.0,0.25 (Unreliable)
1239,Florida,12.0,2011.0,2011.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,187.0,52072.0,3.60
1240,Florida,12.0,2011.0,2011.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,65.0,52072.0,1.25
1241,Florida,12.0,2011.0,2011.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,47.0,52072.0,0.90
1242,Florida,12.0,2011.0,2011.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,47.0,52072.0,0.90
1243,Florida,12.0,2011.0,2011.0,25-29 years,25-29,Diseases of the respiratory system,J00-J98,14.0,60335.0,0.23 (Unreliable)
1244,Florida,12.0,2011.0,2011.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,188.0,60335.0,3.12
1245,Florida,12.0,2011.0,2011.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,79.0,60335.0,1.31
1246,Florida,12.0,2011.0,2011.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,29.0,60335.0,0.48
1247,Florida,12.0,2011.0,2011.0,25-29 years,25-29,External causes of morbidity and mortality,V01-Y89,26.0,60335.0,0.43
1248,Florida,12.0,2011.0,2011.0,30-34 years,30-34,Diseases of the circulatory system,I00-I99,13.0,51059.0,0.26 (Unreliable)
1249,Florida,12.0,2011.0,2011.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,149.0,51059.0,2.92
1250,Florida,12.0,2011.0,2011.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,51.0,51059.0,1.00
1251,Florida,12.0,2011.0,2011.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,12.0,51059.0,0.24 (Unreliable)
1252,Florida,12.0,2011.0,2011.0,30-34 years,30-34,External causes of morbidity and mortality,V01-Y89,21.0,51059.0,0.41
1253,Florida,12.0,2011.0,2011.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,94.0,25843.0,3.64
1254,Florida,12.0,2011.0,2011.0,35-39 years,35-39,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,28.0,25843.0,1.08
1255,Florida,12.0,2011.0,2011.0,40-44 years,40-44,Certain conditions originating in the perinatal period,P00-P96,31.0,6369.0,4.87
1256,Florida,12.0,2011.0,2011.0,40-44 years,40-44,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,16.0,6369.0,2.52 (Unreliable)
1257,Florida,12.0,2012.0,2012.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,68.0,15952.0,4.28
1258,Florida,12.0,2012.0,2012.0,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,21.0,15952.0,1.32
1259,Florida,12.0,2012.0,2012.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,11.0,15952.0,0.69 (Unreliable)
1260,Florida,12.0,2012.0,2012.0,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,18.0,15952.0,1.13 (Unreliable)
1261,Florida,12.0,2012.0,2012.0,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,20.0,51086.0,0.39
1262,Florida,12.0,2012.0,2012.0,20-24 years,20-24,Diseases of the circulatory system,I00-I99,13.0,51086.0,0.26 (Unreliable)
1263,Florida,12.0,2012.0,2012.0,20-24 years,20-24,Diseases of the respiratory system,J00-J98,13.0,51086.0,0.26 (Unreliable)
1264,Florida,12.0,2012.0,2012.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,168.0,51086.0,3.28
1265,Florida,12.0,2012.0,2012.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,58.0,51086.0,1.14
1266,Florida,12.0,2012.0,2012.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,43.0,51086.0,0.85
1267,Florida,12.0,2012.0,2012.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,51.0,51086.0,1.00
1268,Florida,12.0,2012.0,2012.0,25-29 years,25-29,Certain infectious and parasitic diseases,A00-B99,13.0,60981.0,0.21 (Unreliable)
1269,Florida,12.0,2012.0,2012.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,176.0,60981.0,2.88
1270,Florida,12.0,2012.0,2012.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,52.0,60981.0,0.86
1271,Florida,12.0,2012.0,2012.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,40.0,60981.0,0.66
1272,Florida,12.0,2012.0,2012.0,25-29 years,25-29,External causes of morbidity and mortality,V01-Y89,33.0,60981.0,0.54
1273,Florida,12.0,2012.0,2012.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,140.0,52353.0,2.68
1274,Florida,12.0,2012.0,2012.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,43.0,52353.0,0.82
1275,Florida,12.0,2012.0,2012.0,30-34 years,30-34,External causes of morbidity and mortality,V01-Y89,23.0,52353.0,0.44
